Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Transmission Classification
USA,Americas,27020890,8163.35,468051,141.4,Community transmission
India,South-East Asia,10880603,788.45,155447,11.26,Clusters of cases
Brazil,Americas,9659167,4544.22,234850,110.49,Community transmission
Russia,Europe,4042837,2770.31,79194,54.27,Clusters of cases
UK,Europe,3998659,5890.25,115529,170.18,Community transmission
France,Europe,3349393,5131.32,80389,123.16,Community transmission
Spain,Europe,3041454,6505.12,64217,137.35,Community transmission
Italy,Europe,2683403,4438.18,92729,153.37,Clusters of cases
Turkey,Europe,2564427,3040.62,27187,32.24,Community transmission
Germany,Europe,2320093,2769.14,64191,76.61,Community transmission
Colombia,Americas,2173347,4271.27,56733,111.5,Community transmission
Argentina,Americas,2001034,4427.48,49674,109.91,Community transmission
Mexico,Americas,1957889,1518.54,169760,131.67,Community transmission
Poland,Europe,1577036,4166.91,40424,106.81,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1496455,1781.64,58751,69.95,Community transmission
South Africa,Africa,1484900,2503.68,47382,79.89,Community transmission
Ukraine,Europe,1262867,2887.62,24174,55.28,Community transmission
Peru,Americas,1203502,3650.09,42859,129.99,Community transmission
Indonesia,South-East Asia,1191990,435.79,32381,11.84,Community transmission
Czechia,Europe,1073966,10028.65,17902,167.17,Community transmission
Netherlands,Europe,1017302,5937.03,14662,85.57,Community transmission
Canada,Americas,813982,2156.69,21004,55.65,Community transmission
Portugal,Europe,778369,7633.53,14885,145.98,Clusters of cases
Chile,Americas,764307,3998.22,19262,100.76,Community transmission
Romania,Europe,755126,3925.24,19200,99.8,Community transmission
Belgium,Europe,733100,6325.49,21551,185.95,Community transmission
Israel,Europe,705092,8146.14,5238,60.52,Community transmission
Iraq,Eastern Mediterranean,636908,1583.46,13144,32.68,Community transmission
Sweden,Europe,604577,5986.35,12370,122.48,Community transmission
Pakistan,Eastern Mediterranean,559093,253.11,12185,5.52,Community transmission
Philippines,Western Pacific,543282,495.78,11469,10.47,Community transmission
Bangladesh,South-East Asia,539571,327.63,8248,5.01,Community transmission
Switzerland,Europe,536865,6203.22,8953,103.45,Community transmission
Morocco,Eastern Mediterranean,477160,1292.75,8440,22.87,Clusters of cases
Austria,Europe,425659,4726.18,8049,89.37,Community transmission
Serbia,Europe,415943,5972.96,4183,60.07,Community transmission
Japan,Western Pacific,411751,325.56,6774,5.36,Clusters of cases
Hungary,Europe,383735,3972.27,13543,140.19,Community transmission
Saudi Arabia,Eastern Mediterranean,371720,1067.74,6420,18.44,Sporadic cases
Jordan,Eastern Mediterranean,341984,3351.75,4421,43.33,Community transmission
United Arab Emirates,Eastern Mediterranean,339667,3434.31,974,9.85,Community transmission
Lebanon,Eastern Mediterranean,331152,4851.73,3866,56.64,Community transmission
Panama,Americas,329367,7633.48,5550,128.63,Community transmission
Nepal,South-East Asia,272430,935,2052,7.04,Clusters of cases
Slovakia,Europe,271473,4972.36,5629,103.1,Clusters of cases
Georgia,Europe,264665,6634.59,3336,83.63,Community transmission
Belarus,Europe,263551,2789.1,1820,19.26,Community transmission
Ecuador,Americas,262313,1486.78,15174,86.01,Community transmission
Malaysia,Western Pacific,254988,787.83,936,2.89,Clusters of cases
Kazakhstan,Europe,248566,1323.8,3185,16.96,Clusters of cases
Croatia,Europe,237080,5775.02,5282,128.66,Community transmission
Bolivia (Plurinational State of),Americas,232502,1991.79,10996,94.2,Community transmission
Azerbaijan,Europe,231649,2284.69,3170,31.26,Clusters of cases
Bulgaria,Europe,228044,3281.94,9561,137.6,Clusters of cases
Dominican Republic,Americas,226714,2089.93,2904,26.77,Community transmission
